,external_author_id,author,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,account_type,retweet,account_category,new_june_2018,alt_external_id,tweet_id,article_url,tco1_step1,tco2_step1,tco3_step1
26826,2494112058,DAILYSANJOSE,Santa Clara: Hearing set for suit to halt NFL's Super Bowl takeover of youth soccer field  #SanJose,United States,English,1/1/2016 0:07,1/1/2016 0:07,3331,10372,11562,,local,0,NewsFeed,1,2494112058,682714784526041088,http://twitter.com/DailySanJose/statuses/682714784526041088,,,
26827,2494112058,DAILYSANJOSE,#sports TCU Player Hits Officer: Police,United States,English,1/1/2016 0:33,1/1/2016 0:34,3331,10373,11563,,local,0,NewsFeed,1,2494112058,682721367658082304,http://twitter.com/DailySanJose/statuses/682721367658082304,,,
26828,2494112058,DAILYSANJOSE,#sports San Jose Sharks taking form under Pete DeBoer,United States,English,1/1/2016 0:46,1/1/2016 0:46,3331,10373,11564,,local,0,NewsFeed,1,2494112058,682724461687091200,http://twitter.com/DailySanJose/statuses/682724461687091200,,,
26829,2494112058,DAILYSANJOSE,#sports Thompson: Warriors learn from Curry's absence,United States,English,1/1/2016 13:28,1/1/2016 13:29,3332,10375,11579,,local,0,NewsFeed,1,2494112058,682916428526170112,http://twitter.com/DailySanJose/statuses/682916428526170112,,,
26830,2494112058,DAILYSANJOSE,#SanJose Nothing Says 'New Year' Better Than Roasted Pig,United States,English,1/1/2016 15:05,1/1/2016 15:07,3332,10376,11580,,local,0,NewsFeed,1,2494112058,682940837446062081,http://twitter.com/DailySanJose/statuses/682940837446062081,,,
26831,2494112058,DAILYSANJOSE,"#health 4 New Year's spa treatments, from Tibetan singing bowls to birch leaf swatting",United States,English,1/1/2016 15:55,1/1/2016 15:56,3332,10377,11581,,local,0,NewsFeed,1,2494112058,682953406961422336,http://twitter.com/DailySanJose/statuses/682953406961422336,,,
26832,2494112058,DAILYSANJOSE,#SanJose New Year Brings New Laws: From Beer Tasting to Hoverboards,United States,English,1/1/2016 16:40,1/1/2016 16:40,3332,10377,11582,,local,0,NewsFeed,1,2494112058,682964612526952449,http://twitter.com/DailySanJose/statuses/682964612526952449,,,
26833,2494112058,DAILYSANJOSE,Stanford bringing gene editing to patients with deadly diseases  #SanJose,United States,English,1/1/2016 18:06,1/1/2016 18:06,3332,10377,11583,,local,0,NewsFeed,1,2494112058,682986334433054720,http://twitter.com/DailySanJose/statuses/682986334433054720,,,
26834,2494112058,DAILYSANJOSE,#sports Raiders Face Streaking Chiefs in Hostile Environment,United States,English,1/1/2016 18:08,1/1/2016 18:08,3332,10377,11584,,local,0,NewsFeed,1,2494112058,682986711534665728,http://twitter.com/DailySanJose/statuses/682986711534665728,,,
26835,2494112058,DAILYSANJOSE,#sports Oakland Raiders building through draft,United States,English,1/1/2016 18:19,1/1/2016 18:20,3332,10377,11585,,local,0,NewsFeed,1,2494112058,682989659975073792,http://twitter.com/DailySanJose/statuses/682989659975073792,,,
